timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-06-10T10:11:51.920Z,collect,start,phase_start,collect phase started,url=https://sibotacademy.pl/en pages=10 client=sibotacademy-pl-en date=2026-06-10,audit-pipeline.js,high,n-a
2026-06-10T10:11:51.920Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://sibotacademy.pl/en pages=10 forceFresh=false client=sibotacademy-pl-en date=2026-06-10,audit-pipeline.js,high,n-a
2026-06-10T10:11:52.194Z,collect,cache-ttl,gate_result,Cache TTL prune (240h): Pruned 0 URL entries older than 240h; kept 234 fresh URL entries.,Age-based TTL is the only automatic cache-clear; within-TTL entries are reused for speed and fresh by definition,prune-cache.js,high,pass
2026-06-10T10:11:52.195Z,collect,1,anomaly,check-egress.js invoked,url=https://sibotacademy.pl/en,check-egress.js,high,n-a
2026-06-10T10:11:52.544Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-06-10T10:11:52.544Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://sibotacademy.pl/en,check-wellknown.js,high,n-a
2026-06-10T10:11:52.786Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-06-10T10:11:52.857Z,collect,2.5,sitemap_discovery,Sitemap-defect probe passed,Exit 0,check-sitemap-defects.js,high,pass
2026-06-10T10:11:52.857Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-06-10T10:11:52.857Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://sibotacademy.pl/en,check-ai-usage.js,high,n-a
2026-06-10T10:11:53.033Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-06-10T10:11:54.736Z,collect,4,sitemap_discovery,No sitemap — falling back to root: https://sibotacademy.pl/en,"sitemap.xml, sitemap_index.xml, and robots.txt Sitemap: all returned non-200",https://sibotacademy.pl/en,medium,warn
2026-06-10T10:11:54.736Z,collect,4b,sitemap_discovery,check-sitemap-anomaly.js invoked,url=https://sibotacademy.pl/en,check-sitemap-anomaly.js,high,n-a
2026-06-10T10:11:54.812Z,collect,4b,sitemap_discovery,Sitemap not flagged,no aggregator pattern,check-sitemap-anomaly.js,high,pass
2026-06-10T10:11:54.812Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://sibotacademy.pl/en htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=false,mx-reginald/audit/index.js,high,n-a
2026-06-10T10:12:11.596Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,high,pass
2026-06-10T10:12:11.596Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://sibotacademy.pl/en out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill/discovery.json,discover-urls.js,high,n-a
2026-06-10T10:12:12.224Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill/discovery.json,high,pass
2026-06-10T10:12:12.224Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-06-10T10:12:12.298Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-06-10T10:12:12.299Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://sibotacademy.pl/en out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,capture-pdf-sample.js,high,n-a
2026-06-10T10:12:12.367Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-06-10T10:12:12.367Z,collect,6,anomaly,error-page-test.js invoked,url=https://sibotacademy.pl/en,error-page-test.js,high,n-a
2026-06-10T10:12:12.784Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-06-10T10:12:12.784Z,collect,7,agent_access,agent-access-test.js invoked,url=https://sibotacademy.pl/en out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,agent-access-test.js,high,n-a
2026-06-10T10:12:35.842Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-06-10/sibotacademy.pl-en/.infill,agent-access-test.js,high,pass
